fold_end,test_start,test_end,selected_model,ensemble_weights,multi_agent_mape,multi_agent_rmse,multi_agent_mae,multi_agent_runtime_sec,naive_mape,naive_rmse,naive_mae,moving_avg_mape,moving_avg_rmse,moving_avg_mae,moving_avg_20_mape,moving_avg_20_rmse,moving_avg_20_mae,ewma_mape,ewma_rmse,ewma_mae,seasonal_naive_mape,seasonal_naive_rmse,seasonal_naive_mae,prophet_mape,prophet_rmse,prophet_mae,prophet_runtime_sec,trend_agent_contribution,seasonal_agent_contribution,residual_agent_contribution
2022-02-08,2022-02-09,2022-02-15,dynamic_ensemble,"{'naive': 0.1149, 'moving_avg_20': 0.0824, 'median_5': 0.0824, 'ewma_5': 0.0867, 'ewma_10': 0.0891, 'drift': 0.1142, 'component_additive': 0.0863, 'component_no_residual': 0.0863, 'component_shrunk': 0.0863, 'component_weighted': 0.0977, 'moving_avg_5': 0.0737}",20.517507877871083,30353037.421685304,26315228.625358976,0.7364918999955989,28.87796661640749,46170173.95470803,38467440.0,20.639662754281137,29929143.54111056,26277412.0,22.87490221254188,27391398.38007545,23727176.0,20.72444093352983,25599973.65632172,23524248.573790904,20.993913458578156,27748905.06593008,25522940.0,18.831427109478124,34121696.78995416,26231161.061607897,0.9207007999939378,-9053.074695236981,0.0,7274377.267883513
2022-02-15,2022-02-16,2022-02-23,dynamic_ensemble,"{'naive': 0.1527, 'drift': 0.1521, 'component_additive': 0.1665, 'component_no_residual': 0.1665, 'component_shrunk': 0.1665, 'component_weighted': 0.1234, 'moving_avg_5': 0.0723}",16.389902552446813,20053051.989353675,18603431.752136484,0.9746954999864101,22.631367858778965,32823373.655704558,28312020.0,16.276571871603558,19306872.98676821,16602112.0,22.729939468796772,28965964.250996374,21985180.0,16.333289160652566,19000685.90850762,16966107.205504965,19.199142245800342,27789996.020438723,22324680.0,13.43151264773452,18250338.654394094,15982410.520084163,0.7172225999820512,123723.78268443048,0.0,-1552492.9866448566
2022-02-23,2022-02-24,2022-03-02,dynamic_ensemble,"{'component_additive': 0.2297, 'component_no_residual': 0.2297, 'component_shrunk': 0.2297, 'component_weighted': 0.223, 'moving_avg_5': 0.0879}",17.271232227657794,45644281.65365663,30669941.338053036,0.7764245000144001,14.444812496306062,37825832.17305338,25046960.0,18.095851973739297,47303579.691570915,32027880.0,14.82604937964207,42223623.86584819,26866651.0,15.937927661442558,44916274.614590004,28889537.890317917,21.524952215152364,59349360.05572427,37968480.0,17.090476805512225,44182013.98308554,29634152.13882515,0.6478539999807253,189489.2452730015,0.0,-1691588.1243856251
2022-03-02,2022-03-03,2022-03-09,dynamic_ensemble,"{'median_20': 0.2507, 'component_additive': 0.2204, 'component_no_residual': 0.2204, 'component_shrunk': 0.2204, 'moving_avg_5': 0.0881}",12.065189035449572,23310966.59658691,17040771.081400234,0.7457950000243727,11.736784207308633,23597519.40721736,16785020.0,22.478845565758068,28928986.590712093,26506056.0,12.758523106435348,22240421.011528198,17543041.0,15.804149615638158,21901262.925416246,19802570.175316345,26.45139766442638,50217819.85793489,30341680.0,25.054865484364736,32243798.444299057,29413591.98440873,0.6027304000162985,-113908.4091799669,0.0,2032697.1100948192
2022-03-09,2022-03-10,2022-03-16,dynamic_ensemble,"{'median_20': 0.1409, 'component_additive': 0.2009, 'component_no_residual': 0.2009, 'component_shrunk': 0.2009, 'component_weighted': 0.1581, 'moving_avg_5': 0.0984}",24.059587436771228,25075290.032750044,24807092.874386452,0.7550154000055045,19.693204151043044,21614430.59305519,20873980.0,27.07541875275261,28188975.454492845,27376300.0,26.857008142286244,27956375.075107645,27183922.0,29.37845223799087,30738218.46556113,29404832.290061913,29.982544853651692,35938675.90307133,31711180.0,50.618356001932995,53896366.876200035,49971223.14997965,0.42724690001341514,-37438.32930345833,0.0,-1125335.1435386352
2022-03-16,2022-03-17,2022-03-23,dynamic_ensemble,"{'naive': 0.1412, 'moving_avg_20': 0.1098, 'median_5': 0.1504, 'median_20': 0.1442, 'ewma_5': 0.1091, 'ewma_10': 0.1089, 'drift': 0.141, 'moving_avg_5': 0.0955}",38.255213390123984,34508734.89615686,32172808.77965348,0.6807906999893021,63.64626289915858,56069499.8781869,54665060.0,21.13872761050984,21093869.075368796,17012680.0,40.512239943335494,36377734.82058806,34173375.0,34.45302342143376,31389793.977544386,28806234.293400478,30.33827982522299,33273109.112374816,24778040.0,65.67244324407751,57669938.36355914,57234267.16788653,0.5275387000001501,0.0,0.0,0.0
2022-03-23,2022-03-24,2022-03-30,dynamic_ensemble,"{'median_5': 0.6429, 'moving_avg_5': 0.3571}",19.51528932351191,15799281.081632057,13719239.731662124,0.706084200006444,10.03451372103516,8844935.03842736,7061300.0,21.189342255411876,16893628.053594645,14966460.0,58.6496140490839,43585642.637588814,42875500.0,32.77553529361283,24865441.001161974,23598525.6382823,27.908042247506604,23790369.335048165,19835220.0,74.81128415229115,56226530.837686926,54573983.83389226,0.5108641999831889,0.0,0.0,0.0
2022-03-30,2022-03-31,2022-04-06,dynamic_ensemble,"{'component_additive': 0.311, 'component_no_residual': 0.311, 'component_shrunk': 0.311, 'moving_avg_5': 0.0671}",29.062090715961013,25437553.850615036,21856876.75867617,0.649248700006865,22.312339089953124,24611765.285692126,20832860.0,22.186265120488994,26775224.392934598,21701584.0,27.910580972378497,24304663.122182954,21183892.0,22.465037505101122,22838917.183904402,19780677.86783699,23.468329110753213,29535487.437657095,23487480.0,30.28151455658873,26274182.651453383,22478472.481166475,0.46701749999192543,-185451.99974745885,0.0,938943.6136070527
2022-04-06,2022-04-07,2022-04-13,dynamic_ensemble,"{'median_5': 0.5942, 'moving_avg_5': 0.4058}",10.986956229495116,10036397.513097256,8525392.840897772,0.6547558000020217,32.36725987679851,26349364.478484105,25783120.0,11.805299167339298,10665239.755354775,9177560.0,12.436228557271994,11106729.67860927,9687090.0,9.480149152740127,8500635.166405194,7384847.142000223,31.62411511360575,28592383.116207715,25305000.0,14.988059795989711,14107877.123021292,11898537.310523674,0.44280749998870306,0.0,0.0,0.0
2022-04-13,2022-04-14,2022-04-21,dynamic_ensemble,"{'component_weighted': 0.8382, 'moving_avg_5': 0.1618}",14.670207361672096,12549217.862110373,11043065.530786688,0.629526500008069,13.641362670933793,13058016.902960418,11162100.0,14.729677787674786,12577512.779162658,11070756.0,16.07416979502591,13589880.941620681,11698797.0,15.681749533959177,13225535.201631213,11515489.094982272,19.658225555206123,15523490.083289905,15095620.0,15.799442754895612,13808918.587322509,12191181.030526841,0.4682062999927439,-120683.09935773909,0.0,5102463.975677293
2022-04-21,2022-04-22,2022-04-28,dynamic_ensemble,"{'moving_avg_3': 0.2614, 'median_5': 0.1904, 'ewma_5': 0.1824, 'component_weighted': 0.1984, 'moving_avg_5': 0.1675}",32.295121117566396,39824968.170693696,38357356.772914656,0.6502128000138327,26.198891921721724,33084099.830401916,31301680.0,32.204048600087134,39723809.67288007,38252040.0,29.756797521315274,37004191.664318584,35419595.0,31.045503259090594,38434292.471150406,36911141.23123707,32.33461874979301,40959546.33786854,38252040.0,36.27795222173206,43622224.581402674,42732216.98992683,0.46451629998045973,-44651.18925716728,0.0,-6465055.624499429
